meanunitssoldperproduct,meandiscount,rating,meanproductprices,urgencytextrate,meanproductratingscount,meanretailprices,merchantid,averagediscount,totalunitssold,listedproducts,merchantratingscount,totalurgencycount
10.0,-16.0,3.875,14.0,100.0,2.0,12.0,5af917558699ce1103dd6010,-16.0,10,1,514.0,1
1000.0,0.0,4.064,13.0,100.0,332.0,13.0,583edf165022c71b82d1d6c7,0.0,1000,1,4048.0,1
100.0,62.33,3.988,9.67,67.0,55.0,25.33,584a7a381591451e4e3af3df,62.0,300,3,4080.0,2
2175.0,-0.12,3.868,5.45,25.0,326.0,5.38,582833faea77701b456c786a,0.0,17400,8,10600.0,2
100.0,-16.0,3.935,7.0,50.0,22.0,6.0,577f79f928d95d5777eac030,-16.0,200,2,3060.0,1
460.0,-7.0,3.943,7.53,40.0,51.0,6.8,5d5256c527752b19063d8c53,-7.0,2300,5,247.0,2
2550.0,28.0,4.236,6.34,50.0,425.0,13.5,583e3e7a5022c71b82d1b18c,28.0,5100,2,2199.0,1
5000.0,29.5,4.124,10.0,50.0,275.0,18.0,599bf53b21064f19ffffc891,30.0,10000,2,13127.0,1
1000.0,-14.0,4.072,8.0,100.0,111.0,7.0,5948c9761f2f0f2efb675fa4,-14.0,1000,1,6623.0,1
100.0,-15.0,4.03,15.0,50.0,56.0,13.0,566e97ca39cce4269637a261,-15.0,200,2,2166.0,1
1050.0,68.0,4.002,6.8,40.0,279.0,32.4,566a47bfe9fa8a31b3ef5141,68.0,5250,5,25222.0,2
1505.0,37.0,3.966,8.95,25.0,325.0,42.75,58a99ceca65ebc504a6ebf1e,37.0,6020,4,27175.0,1
400.0,2.0,4.048,11.22,33.0,182.0,11.0,58a6f92596f1bb57c40b0d56,2.0,1200,3,7627.0,1
100.0,-16.0,3.923,14.0,100.0,20.0,12.0,5b3ed8fa22856f198f7f0a88,-16.0,100,1,1643.0,1
50.0,-14.0,3.737,8.0,33.0,8.0,7.0,5dda40561fead208515f98e2,-14.0,150,3,334.0,1
100.0,-16.0,4.343,7.0,100.0,57.0,6.0,5b71353ec8cfda2270406795,-16.0,100,1,3038.0,1
100.0,25.0,3.984,6.0,50.0,13.0,8.0,56cd27b048e91e13aa3986e4,25.0,200,2,3515.0,1
100.0,-17.0,3.993,5.89,100.0,48.0,5.0,5e535edc18034a4651aeecef,-17.0,100,1,150.0,1
100.0,4.0,4.333,4.81,50.0,0.0,5.0,5e5f6272d0e9af054214467e,4.0,200,2,6.0,1
1000.0,0.0,4.155,6.0,100.0,362.0,6.0,586fbd8b8c30e82bdcce557d,0.0,1000,1,5914.0,1
100.0,80.0,3.991,2.0,50.0,10.0,10.0,56ab21890d8dad10e044b9ec,80.0,200,2,8225.0,1
2003.0,-10.67,4.254,5.97,67.0,197.0,5.33,58b92804935861529969e778,-11.0,6010,3,6357.0,2
5525.0,68.5,3.872,12.75,25.0,382.0,40.5,55cc4e1d845591103477a561,69.0,22100,4,22711.0,1
40.0,88.0,3.99,6.0,33.0,5.0,48.33,5d464a1ffdf7bc44ee933c65,88.0,120,3,295.0,1
3775.0,49.5,4.275,8.25,25.0,683.0,22.5,5ae90e716691361cdb40fb0b,50.0,15100,4,5781.0,1
100.0,-14.0,4.318,8.0,50.0,21.0,7.0,550ab2be8e8def0b2c654d4b,-14.0,200,2,6126.0,1
1000.0,84.0,3.985,7.0,100.0,130.0,43.0,5b164e4c7e43f2326c3e3931,84.0,1000,1,6731.0,1
